division_number,date_reported,date_occurred,area,area_name,reporting_district,part,crime_code,crime_description,modus_operandi,victim_age,victim_sex,victim_descent,premise_code,premise_description,weapon_code,weapon_description,status,status_description,crime_code_1,crime_code_2,crime_code_3,crime_code_4,location,cross_street,latitude,longitude,case_number
230916996,02-12-2023,01-07-2020 08:00,9,Van Nuys,906,2,649,DOCUMENT FORGERY / STOLEN FELONY,1822,64,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,649,,,,7200    TYRONE                       AV,,34.2012,-118.4444,1
231820294,03-12-2023,08-01-2021 04:00,18,Southeast,1801,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0913 0344,26,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,500 W  91ST                         ST,,33.9542,-118.2827,2
231614578,01-12-2023,04-10-2021 12:10,16,Foothill,1659,2,354,THEFT OF IDENTITY,1822 0928,41,M,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,6600    VALMONT                      ST,,34.2515,-118.2757,3
231518371,01-12-2023,01-01-2021 04:30,15,N Hollywood,1506,2,354,THEFT OF IDENTITY,1501,36,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11100    VALERIO                      ST,,34.2048,-118.3725,4
231614583,01-12-2023,20-12-2022 09:00,16,Foothill,1645,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,39,F,H,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,12600    OSBORNE                      ST,,34.2626,-118.4094,5
230221983,01-12-2023,01-06-2022 18:05,2,Rampart,257,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377,72,F,F,108,PARKING LOT,,,IC,Invest Cont,440,,,,1300 W  7TH                          ST,,34.0552,-118.2675,6
230125563,04-12-2023,30-10-2023 23:10,1,Central,145,1,330,BURGLARY FROM VEHICLE,1307 0344 0329 0386,0,,,102,SIDEWALK,,,IC,Invest Cont,330,,,,100 E  4TH                          ST,,34.0481,-118.2472,7
231321485,02-12-2023,15-07-2022 17:00,13,Newton,1364,2,354,THEFT OF IDENTITY,0100 1202,65,M,H,750,CYBERSPACE,,,IC,Invest Cont,354,,,,1200 E  48TH                         ST,,33.9998,-118.2542,8
231224232,04-12-2023,01-12-2023 16:30,12,77th Street,1208,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4400 S  FIGUEROA                     ST,,33.9997,-118.2849,9
231116463,04-12-2023,25-11-2023 12:00,11,Northeast,1116,2,354,THEFT OF IDENTITY,1822 0930,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5200    SAN RAFAEL                   AV,,34.113,-118.2044,10
